ROW_ID,GENERO,ANIOS,ESTADO,FECHA_ULT_COMPRA,ARTICULOS_BEBES,MONTO_BEBES,ARTICULOS_OTROS,MONTO_OTROS,ARTICULOS_TOTALES,MONTO_TOTALES,Q1,Q2,Q3,Q4
11988,F,40,MEXICO,2022-03-01,14,2410.6,5,6595,19,9005.6,19,0,0,0
11697,F,47,MEXICO,2022-05-01,2,"381,995,241,454",17,"3,596,404,758,544",19,"3,978,399,999,998",0,19,0,0
12212,F,50,DISTRITO FEDERAL,2022-05-01,16,1336.2,3,2221.4,19,3557.6,0,19,0,0
115210,I,24,MORELOS,2022-08-01,3,"545,733,709,905",16,"2,398,541,940,692",19,"2,944,275,650,597",0,0,19,0
12390,F,38,YUCATAN,2022-06-01,9,"862,561,390,668",10,"766,953,857,882",19,"162,951,524,855",0,19,0,0
1065,M,37,CHIAPAS,2022-03-01,2,338.3,16,2525,18,2863.3,18,0,0,0
1239,F,55,SINALOA,2022-08-01,6,"593,116,052,073",12,"3,420,635,280,081",18,"4,013,751,332,154",0,11,7,0
1233,F,52,SINALOA,2022-06-01,17,3301.4,1,129,18,3430.4,0,18,0,0
1229,F,59,PUEBLA,2022-07-01,16,1234.26,2,318.4,18,1552.66,11,6,1,0
140,M,63,VERACRUZ DE IGNACIO DE LA LLAV,2022-05-01,9,"144,878,354,596",9,"2,075,920,973,721",18,"3,524,704,519,681",4,14,0,0
11002,M,32,TLAXCALA,2022-04-01,18,1602,0,0,18,1602,0,18,0,0
1102648,F,30,GUANAJUATO,2022-07-01,11,"111,735,986,693",7,"1,507,877,937,394",18,"2,625,237,804,324",0,0,18,0
1936,F,54,SINALOA,2022-08-01,11,"1,479,797,170,073",7,"1,608,402,829,927",18,3088.2,0,17,1,0
115988,M,,,2022-05-01,4,572.8,14,1980.9,18,2553.7,0,18,0,0
11995,F,69,QUERETARO,2022-02-01,2,"187,346,384,634",16,"3,232,353,615,365",18,"3,419,699,999,999",18,0,0,0
111215,M,24,MEXICO,2022-05-01,18,2656.4,0,0,18,2656.4,0,18,0,0
129134,M,47,VERACRUZ DE IGNACIO DE LA LLAVE,2022-06-01,16,"1,922,359,759,477",2,"303,578,163,312",18,"2,225,937,922,789",0,18,0,0
11735,I,31,NAYARIT,2022-05-01,11,"123,167,678,135",6,"169,052,321,865",17,2922.2,4,13,0,0
1329,M,60,,2022-08-01,6,557,11,2150.5,17,2707.5,0,0,17,0
11436,F,69,NUEVO LEON,2022-03-01,1,45,16,3339,17,3384,17,0,0,0
1362,F,61,MORELOS,2022-08-01,3,297.57,14,3452.66,17,3750.23,0,0,17,0
12437,F,27,MEXICO,2022-05-01,8,1118.6,9,1764.75,17,2883.35,0,17,0,0
11245,M,41,YUCATAN,2022-05-01,6,"584,146,518,102",11,"1,278,295,044,905",17,"1,862,441,563,007",10,7,0,0
11242,F,60,PUEBLA,2022-08-01,3,655.47,14,3892.98,17,4548.45,2,0,15,0
11841,F,72,QUERETARO,2022-05-01,6,"44,060,627,794",11,"1,547,181,473,826",17,"1,987,787,751,766",0,17,0,0
114950,F,33,ZACATECAS,2022-07-01,8,570.5,9,565.5,17,1136,0,0,17,0
1351,F,67,SAN LUIS POTOSI,2022-07-01,3,"455,721,926,993",14,"2,080,516,611,466",17,"2,536,238,538,459",0,0,17,0
191,F,52,TABASCO,2022-08-01,10,"990,289,073,311",7,"137,305,621,638",17,"2,363,345,289,691",5,3,9,0
1302,M,45,DISTRITO FEDERAL,2022-06-01,2,263.25,15,6377.98,17,6641.23,0,17,0,0
1206,F,51,OAXACA,2022-07-01,5,"724,632,313,386",12,"2,325,957,947,467",17,"3,050,590,260,853",0,4,13,0
12691,M,61,YUCATAN,2022-05-01,6,"803,349,919,336",11,"176,719,518,562",17,"2,570,545,104,956",11,6,0,0
121761,F,34,MEXICO,2022-06-01,14,2145.36,3,258.54,17,2403.9,0,17,0,0
11162,M,73,NUEVO LEON,2022-02-01,6,1028.75,11,2199,17,3227.75,17,0,0,0
11626,M,25,NUEVO LEON,2022-07-01,8,929.84,9,2818.1,17,3747.94,0,0,17,0
118412,M,40,NUEVO LEON,2022-08-01,12,1951.47,5,1450.8,17,3402.27,0,0,17,0
12688,F,30,PUEBLA,2022-08-01,11,"1,059,332,137,366",6,"1,663,667,862,635",17,"2,723,000,000,001",0,0,17,0
